psi_index,prs_index,avgInfected
15,16,0.34553159488
15,17,0.35500173392
15,18,0.36145442544
15,19,0.3698435144
15,20,0.37688937392
15,21,0.38143046528
15,22,0.38725850848
15,23,0.39276008768000004
15,24,0.39800379456
16,0,0.0
16,1,0.0
16,2,0.051926936
16,3,0.08929493584
16,4,0.126599252
16,5,0.16128367216
16,6,0.19298473392
16,7,0.22025541583999997
16,8,0.24324692832
16,9,0.26536530671999997
16,10,0.28223751616
16,11,0.2977276616
16,12,0.31329742336
16,13,0.326305532
16,14,0.33810280496
16,15,0.34735108832
16,16,0.35751031536
16,17,0.36759669984000004
16,18,0.37509434944
16,19,0.38219244208
16,20,0.39003900496
16,21,0.3954002384
16,22,0.40156771136
16,23,0.4069472448
16,24,0.41232026848
17,0,0.0
17,1,0.0
17,2,0.05572409616
17,3,0.09541106608
17,4,0.13264745328
17,5,0.16827903968
17,6,0.20131553312
17,7,0.22881694848000003
17,8,0.25379928912
17,9,0.27272281536
17,10,0.29332003008
17,11,0.3088251272
17,12,0.32371727536
17,13,0.33612876064
17,14,0.34723459440000004
17,15,0.36014905504
17,16,0.36989520864000003
17,17,0.37811574
17,18,0.38656965231999996
17,19,0.39384042576
17,20,0.4014944152
17,21,0.40755719264
17,22,0.41337385296
17,23,0.419350708
17,24,0.42398018128000003
18,0,0.0
18,1,0.0
18,2,0.05878775104
18,3,0.10031859936
18,4,0.13784145744
18,5,0.1761078864
18,6,0.20814261280000002
18,7,0.23579528271999997
18,8,0.26078705712
18,9,0.28145005104000004
18,10,0.29944420224
18,11,0.31689995647999997
18,12,0.333305848
18,13,0.34644802528
18,14,0.35762883759999997
18,15,0.36907064544
18,16,0.37871830768
18,17,0.38729041664
18,18,0.39594325408
18,19,0.40426227439999995
18,20,0.4111628328
18,21,0.41805156736
18,22,0.42457787904
18,23,0.42922979568
18,24,0.43514571216000003
19,0,0.0
19,1,0.0
19,2,0.05999827568
19,3,0.1029207512
19,4,0.1437174992
19,5,0.17904944192
19,6,0.21449520496
19,7,0.24124964672000002
19,8,0.26721936064
19,9,0.28834399039999997
19,10,0.30783267952
19,11,0.3249064608
19,12,0.33975082432
19,13,0.3534283144
19,14,0.36691698656
19,15,0.37856663488
19,16,0.38857342608
19,17,0.39774366112
19,18,0.40649646016
19,19,0.41458359392000005
19,20,0.420884528
19,21,0.427236472
19,22,0.43458374703999997
19,23,0.44041787647999997
19,24,0.44533902816
20,0,0.0
20,1,0.0
20,2,0.06686252736000001
20,3,0.10677912111999999
20,4,0.15027515504
20,5,0.18676250768
20,6,0.21836766
20,7,0.2487231664
20,8,0.2732973664
20,9,0.29494073408
20,10,0.3143421848
20,11,0.33368652656
20,12,0.34796571664
20,13,0.3618696984
20,14,0.37435686592
20,15,0.38574918304
20,16,0.39556703247999997
20,17,0.40521442336
20,18,0.41414481616000004
20,19,0.42219017999999997
20,20,0.43017838463999997
20,21,0.43674427536000004
20,22,0.4430588192
20,23,0.44955399343999997
20,24,0.45438173311999996
21,0,0.0
21,1,0.0
21,2,0.06705576624000001
21,3,0.11216906736000001
21,4,0.15329004656
21,5,0.19142909616
21,6,0.22403280624
21,7,0.25375554912
21,8,0.27920758096
21,9,0.30109433376
21,10,0.32013804864
21,11,0.33935105408
21,12,0.35364456256
21,13,0.36854996576
21,14,0.38116074720000004
21,15,0.39290754736
21,16,0.40397010688
21,17,0.41216676207999997
21,18,0.42217016543999997
21,19,0.42903902
21,20,0.43719711584
21,21,0.44318388080000004
21,22,0.45063485887999993
21,23,0.457082772
21,24,0.46286239183999994
22,0,0.0
22,1,0.00246954192
22,2,0.06923669135999999
22,3,0.11392278624
22,4,0.15787710176
22,5,0.19428617792
22,6,0.22777208255999998
22,7,0.2558799584
22,8,0.28326703888000004
22,9,0.30633911504
22,10,0.32556955968
22,11,0.3443502368
22,12,0.36027531792
22,13,0.37473007616
22,14,0.38817704832
22,15,0.39876738224
22,16,0.41041567616
22,17,0.42026812144
22,18,0.42846931888
22,19,0.43735736576
22,20,0.44389153200000003
22,21,0.45171807392
22,22,0.45766581184
22,23,0.46481570176
22,24,0.47062755696
23,0,0.0
23,1,0.0
23,2,0.07300371664000001
23,3,0.11512142415999999
23,4,0.1594431368
23,5,0.19967317344000002
23,6,0.2321194736
23,7,0.26305946528
23,8,0.28849402912
23,9,0.31104631728
23,10,0.33210681408
23,11,0.34953646352
23,12,0.36611830479999996
23,13,0.37975387072
23,14,0.39321977168
23,15,0.40586096864
23,16,0.41615096704
23,17,0.426734004
23,18,0.43563934768
23,19,0.44314757248
23,20,0.45102867791999995
23,21,0.45842688144000004
23,22,0.4654849432
23,23,0.47113388640000003
23,24,0.47790973408
24,0,0.0
24,1,0.0
24,2,0.07196251552
24,3,0.12064545215999999
24,4,0.1637889088
24,5,0.20161272656
24,6,0.23532164607999997
24,7,0.26681122704
24,8,0.29242532416
24,9,0.31469053632
24,10,0.33503444528
24,11,0.35472066335999997
24,12,0.37028124528
24,13,0.38539761664
24,14,0.39842803952
24,15,0.41072666096000005
24,16,0.42140740656
24,17,0.43195619232
24,18,0.44033661232000004
24,19,0.44970219823999996
24,20,0.457725016
24,21,0.46387374768
24,22,0.47157336576
24,23,0.47800504016000006
24,24,0.48368312720000006
